First name,Last name,Email,UTCTimeInvited,UTCTimeStartParticipation,Response status,Sex,Asian,Black/AA,Hispanic,White,Other,Age Bracket,Cracked,Dry,Oily,Red,Rough,Sensitive,Smooth,Tight,Acne,Blackheads,Dryness,Fine Lines,Hormonal or Cystic Acne,Hyperpigmentation,Oiliness,Roughness
,,,,07.18.2018 18:04:03,Completed,f,1,0,0,0,0,20s,4,5,2,6,1,6,6,3,1,1,5,4,1,3,1,1
,,,,07.18.2018 19:57:40,Completed,f,0,0,0,1,0,20s,1,3,3,1,1,4,5,1,5,4,1,1,3,1,2,1
,,,,07.18.2018 20:41:21,Completed,f,0,0,1,0,0,20s,1,4,1,1,1,2,1,2,1,1,6,1,1,1,1,2
,,,,07.18.2018 22:55:09,Completed,m,0,0,0,1,0,20s,1,1,5,4,5,2,3,4,4,6,1,1,1,1,6,5
,,,,07.19.2018 04:49:18,Completed,f,1,0,0,0,0,20s,1,5,4,1,1,2,3,1,5,1,4,1,6,1,4,2
,,,,07.19.2018 19:59:14,Completed,f,0,0,0,1,0,30s,1,1,6,6,5,7,2,5,6,4,4,5,6,7,6,5
,,,,07.19.2018 20:00:31,Completed,m,0,0,0,1,0,20s,1,1,5,1,1,5,3,1,5,5,1,1,1,1,5,1
,,,,07.19.2018 20:11:01,Completed,f,0,0,0,1,0,30s,1,5,2,1,2,1,4,4,1,6,6,7,1,7,1,2
,,,,07.19.2018 20:12:53,Completed,f,0,0,0,1,0,20s,1,4,4,1,1,1,3,1,3,3,2,2,1,1,1,1
,,,,07.19.2018 20:15:59,Completed,f,0,0,0,1,0,50s,4,4,2,2,4,5,4,2,2,2,3,6,2,5,2,2
,,,,07.19.2018 20:21:31,Completed,f,0,0,1,1,0,20s,1,4,5,1,1,5,5,2,4,5,5,6,6,4,5,7
,,,,07.19.2018 20:21:41,Completed,f,0,0,0,1,0,20s,1,6,4,5,3,3,4,5,3,4,5,4,4,1,3,2
,,,,07.19.2018 20:29:29,Completed,f,0,0,0,0,1,30s,1,6,1,1,1,1,7,3,1,5,7,7,7,3,1,1
,,,,07.19.2018 20:31:54,Completed,m,0,0,0,1,0,40s,7,7,4,2,7,2,1,4,1,1,6,8,8,8,4,4
,,,,07.19.2018 20:47:44,Completed,f,0,0,0,1,0,20s,1,1,6,6,4,1,4,1,5,6,1,1,4,4,6,6
,,,,07.19.2018 20:58:25,Completed,f,0,0,0,1,0,20s,5,4,6,3,5,7,1,2,7,4,4,5,7,1,6,3
,,,,07.19.2018 21:02:11,Completed,f,0,0,0,1,0,20s,1,2,5,1,1,3,4,4,4,4,1,5,4,3,4,1
,,,,07.19.2018 21:15:12,Completed,f,0,0,0,1,0,30s,1,4,4,5,1,4,5,4,5,3,4,7,6,4,3,2
,,,,07.19.2018 21:33:49,Completed,f,0,0,0,1,0,50s,5,6,1,5,4,6,4,6,1,4,6,7,1,7,1,5
,,,,07.19.2018 21:46:50,Completed,f,0,0,0,1,0,20s,2,5,2,6,6,4,3,4,1,4,6,3,1,6,3,6
,,,,07.19.2018 22:00:27,Completed,f,0,0,1,0,0,20s,1,3,4,4,1,2,4,2,1,3,3,3,3,1,4,3
,,,,07.19.2018 22:34:15,Completed,f,0,0,1,1,0,20s,1,6,1,2,1,1,6,4,5,1,7,4,5,4,1,1
,,,,07.19.2018 23:13:15,Completed,f,0,0,0,1,0,30s,1,2,4,2,1,1,6,2,5,3,2,6,7,7,5,1
,,,,07.20.2018 00:58:17,Completed,f,0,0,0,1,0,20s,1,4,4,5,2,5,5,2,4,3,2,4,5,6,3,2
,,,,07.20.2018 01:02:03,Completed,f,0,0,0,1,0,20s,1,5,2,1,2,4,4,1,1,2,4,7,1,4,2,5
,,,,07.20.2018 01:40:55,Completed,f,0,0,0,1,0,30s,2,5,3,6,4,6,4,4,1,4,6,6,1,4,3,5
,,,,07.20.2018 03:49:21,Completed,f,0,0,0,1,0,20s,1,2,2,1,1,2,4,1,1,2,2,4,1,4,1,1
,,,,07.20.2018 03:52:20,Completed,f,0,0,0,1,0,20s,1,3,4,5,4,5,3,2,6,6,4,3,6,5,4,3
,,,,07.20.2018 04:01:36,Completed,f,0,0,0,1,0,20s,2,2,5,4,2,7,3,3,5,5,2,4,6,7,7,3
,,,,07.20.2018 05:01:31,Completed,m,1,0,0,0,0,40s,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
,,,,07.20.2018 05:25:49,Completed,m,0,0,0,1,0,20s,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1
,,,,07.20.2018 05:54:48,Completed,f,0,0,0,1,0,20s,1,2,5,5,5,3,4,3,6,6,3,4,6,4,5,2
,,,,07.20.2018 06:24:25,Completed,f,0,0,0,1,0,30s,1,4,1,2,1,1,5,2,1,1,5,7,1,1,1,1
,,,,07.20.2018 13:14:57,Completed,f,0,0,0,1,0,20s,1,1,1,2,1,4,5,1,1,1,1,1,1,1,1,1
,,,,07.20.2018 15:43:21,Completed,f,0,0,0,1,0,20s,1,3,2,6,1,2,6,1,7,5,3,2,6,3,2,1
,,,,07.20.2018 16:16:58,Completed,f,0,0,1,0,0,20s,1,1,6,4,2,4,3,1,4,5,1,1,1,2,7,3
,,,,07.20.2018 19:31:20,Completed,f,0,0,0,1,0,20s,3,4,6,5,2,4,2,4,7,7,4,1,5,1,7,1
,,,,07.20.2018 21:26:24,Completed,f,0,0,0,1,0,20s,2,5,2,3,2,2,4,5,6,2,2,1,7,1,2,3
,,,,07.20.2018 23:21:05,Completed,f,1,0,0,0,0,20s,2,6,4,2,6,3,5,4,6,4,7,6,4,1,4,4
,,,,07.21.2018 00:40:30,Completed,f,0,0,0,1,0,30s,1,7,1,5,1,3,7,6,4,4,7,7,1,3,1,1
,,,,07.21.2018 02:17:02,Completed,f,0,1,0,1,0,20s,1,4,5,2,3,1,6,5,7,4,1,1,7,2,3,5
,,,,07.21.2018 03:16:00,Completed,f,1,0,0,0,0,30s,1,6,2,2,2,6,5,5,1,1,7,4,1,5,2,2
,,,,07.21.2018 15:47:32,Completed,f,0,0,0,1,0,40s,1,3,4,3,2,2,6,1,2,3,2,5,2,2,4,2
,,,,07.26.2018 01:06:56,Completed,f,1,0,0,0,0,20s,1,6,5,1,4,2,3,1,6,5,6,4,1,1,4,1
,,,,07.27.2018 22:51:19,Completed,f,0,0,0,1,0,50s,1,5,1,1,5,1,1,1,1,1,4,7,1,7,1,4
,,,,08.06.2018 03:17:25,Completed,f,0,0,0,1,0,20s,1,6,4,2,1,7,4,1,6,1,6,1,1,1,4,5
,,,,07.16.2018 15:22:58,Incomplete,m,0,1,0,0,0,30s,2,2,4,4,4,2,3,3,2,4,4,2,3,1,4,2
,,,,07.18.2018 23:40:27,Incomplete,f,1,0,0,0,0,20s,2,2,5,5,3,5,6,2,3,3,2,2,5,2,4,2
,,,,07.19.2018 01:25:54,Incomplete,m,0,0,1,1,0,20s,1,2,4,5,5,4,2,4,4,3,1,1,1,2,2,3
,,,,07.19.2018 01:39:27,Incomplete,m,1,0,0,0,0,20s,2,4,5,1,4,2,6,6,2,5,4,4,1,6,2,2
,,,,07.19.2018 17:59:21,Incomplete,f,0,0,1,1,0,20s,1,2,6,5,2,6,6,5,7,3,5,5,7,1,7,2
,,,,07.19.2018 20:10:13,Incomplete,f,0,0,0,1,0,40s,1,5,1,4,5,6,2,1,1,1,5,5,1,5,1,5
